Hospital_ID,Hospital_Name,State,Region_Type,Population_Density,Total_Beds,Occupied_Beds,Doctors_Count,Nurses_Count,Daily_Patient_Inflow,Emergency_Cases,OPD_Visits,IPD_Admissions,Avg_Treatment_Cost,Equipment_Availability_Index,Medicine_Stock_Index,Distance_to_Nearest_City_km,Satisfaction_Score,Mortality_Rate
33,Hospital_33,Maharashtra,Urban,19025,160,10,52,165,811,130,79,285,4212,0.73,0.42,28.73,1.15,1.12
34,Hospital_34,Tamil Nadu,Rural,6863,84,58,66,111,84,85,1461,277,7558,0.91,0.73,30.04,1.41,4.64
35,Hospital_35,Karnataka,Rural,19559,295,105,64,22,136,34,816,121,19828,0.87,0.51,14.89,1.81,4.62
36,Hospital_36,Delhi,Rural,3264,332,210,84,24,684,102,1216,84,18211,0.48,0.58,70.03,1.15,3.65
37,Hospital_37,Karnataka,Urban,18537,258,258,9,45,175,65,664,223,6406,0.88,0.37,32.82,1.29,1.7
38,Hospital_38,Delhi,Urban,8579,321,35,84,24,695,0,1492,43,19144,0.79,0.72,80.47,2.22,3.28
39,Hospital_39,Tamil Nadu,Rural,5837,411,352,11,126,101,134,1054,150,18313,0.99,0.38,97.2,1.4,3.47
40,Hospital_40,Kerala,Urban,19701,29,29,55,84,537,147,123,175,9653,0.95,0.59,5.32,4.21,2.62
41,Hospital_41,Maharashtra,Rural,17931,476,244,69,65,853,170,1128,240,13945,0.67,0.46,99.32,1.22,3.77
42,Hospital_42,Tamil Nadu,Urban,6109,388,358,13,104,86,118,1011,37,15828,0.82,0.97,26.16,4.63,0.25
43,Hospital_43,Maharashtra,Urban,17091,252,252,86,141,257,133,73,100,19846,0.7,0.99,42.59,4.48,1.36
44,Hospital_44,Kerala,Urban,4652,214,214,49,61,603,54,1095,124,19352,0.72,0.8,78,1.83,3.99
45,Hospital_45,Kerala,Rural,18248,414,414,51,147,626,99,477,168,15154,0.37,0.99,66.87,1.29,4.7
46,Hospital_46,Tamil Nadu,Urban,9517,31,31,71,182,835,20,1105,267,15948,0.3,0.29,78.07,1.42,4.39
47,Hospital_47,Kerala,Urban,9321,413,405,28,93,998,50,912,99,4466,0.33,0.99,47.17,3.24,3.61
48,Hospital_48,Delhi,Rural,2771,428,360,96,38,345,173,388,254,9608,0.98,0.28,91.69,3.4,0.91
49,Hospital_49,Kerala,Rural,6619,196,196,14,62,609,162,561,40,1750,0.39,0.53,79.2,2.26,1.91
50,Hospital_50,Maharashtra,Rural,4062,196,196,77,166,86,99,1143,237,5188,0.33,0.39,31.61,2.19,0.35
51,Hospital_51,Maharashtra,Rural,12834,236,236,81,160,195,7,721,137,4287,0.52,0.96,94.9,3.13,3.24
52,Hospital_52,Maharashtra,Urban,13222,30,30,52,194,852,67,1161,279,9631,0.71,0.71,96.14,2.22,2.3
53,Hospital_53,Maharashtra,Urban,19661,465,60,39,187,703,106,926,279,10970,0.96,0.68,42.09,4.74,2.91
54,Hospital_54,Delhi,Urban,3822,137,90,58,30,497,143,620,218,6158,0.79,1,65.54,2.53,4.9
55,Hospital_55,Karnataka,Urban,5006,183,45,91,121,274,66,813,187,9693,0.49,0.69,81.66,1.88,2.07
56,Hospital_56,Tamil Nadu,Urban,7363,58,58,85,180,82,198,1292,200,2712,0.96,0.72,81.91,1.58,1.6
57,Hospital_57,Maharashtra,Rural,13799,72,72,75,147,833,191,762,77,7367,0.33,0.24,2.4,3.53,0.84
58,Hospital_58,Kerala,Urban,11188,237,237,20,85,422,1,638,276,7463,0.99,0.89,63.27,2.31,0.8
59,Hospital_59,Maharashtra,Urban,908,225,164,57,39,777,0,816,279,11829,0.34,0.98,97.4,1.76,2.64
60,Hospital_60,Kerala,Urban,9270,331,254,44,134,211,185,1343,137,4491,0.83,0.97,23.9,2.1,3.77
61,Hospital_61,Kerala,Rural,16360,379,120,24,60,998,0,868,273,9795,0.33,0.38,79.77,2.23,2.87
62,Hospital_62,Maharashtra,Rural,17209,404,177,92,170,348,101,127,230,19071,0.95,0.38,53.89,3.5,4.38
63,Hospital_63,Delhi,Urban,10793,75,75,73,155,90,114,59,251,15235,0.38,0.49,22.93,1.7,1.65
64,Hospital_64,Kerala,Rural,7801,137,137,49,87,897,134,1409,253,14743,0.34,0.45,6.05,3.93,3.02
65,Hospital_65,Kerala,Rural,17700,407,151,10,31,760,87,685,28,12917,0.92,0.44,76.23,2.22,3.34
66,Hospital_66,Maharashtra,Rural,18681,272,272,96,73,965,196,1259,164,3532,0.37,0.68,32.33,2.95,1.48
67,Hospital_67,Kerala,Rural,14291,305,206,73,30,82,91,1194,238,11505,0.86,0.84,38.18,3.62,2.04
68,Hospital_68,Kerala,Rural,19290,287,287,53,138,316,17,641,67,4403,0.82,0.95,49.04,3.17,3
69,Hospital_69,Maharashtra,Rural,17456,310,118,43,116,264,87,767,290,12751,0.72,0.25,51.21,3.65,0.2
70,Hospital_70,Maharashtra,Rural,13804,352,352,6,125,538,159,614,54,4170,0.56,0.42,21.41,2.29,4.44
71,Hospital_71,Tamil Nadu,Urban,2223,199,88,43,133,412,172,1347,111,19220,0.94,0.4,67.39,4.85,0.64
72,Hospital_72,Delhi,Urban,11633,434,399,25,152,791,32,459,57,3823,0.91,0.49,69.56,2.84,0.33
73,Hospital_73,Delhi,Rural,16708,377,170,44,45,620,72,407,59,7620,0.6,0.54,15.09,2.29,1.15
74,Hospital_74,Kerala,Urban,14548,254,254,86,56,196,176,147,90,8359,0.46,0.51,53.76,2.19,2.56
75,Hospital_75,Delhi,Urban,14686,362,28,58,191,223,160,1056,68,599,0.49,0.96,61.32,1.17,1.71
76,Hospital_76,Kerala,Rural,1914,215,136,16,41,665,198,290,170,4156,0.45,0.55,19.44,3.74,2.26
77,Hospital_77,Tamil Nadu,Urban,13101,327,214,85,195,613,195,606,112,13209,0.68,0.64,89.55,2.05,0.51
78,Hospital_78,Maharashtra,Rural,17590,99,38,41,183,552,27,760,283,7286,0.91,0.8,48.8,4.84,1.24
79,Hospital_79,Maharashtra,Rural,16608,154,154,42,63,930,86,1187,192,1193,0.84,0.78,12.39,1.84,0.58
80,Hospital_80,Maharashtra,Rural,19730,41,41,19,170,147,52,1314,125,8709,0.86,0.67,34.11,3.12,1.23
81,Hospital_81,Delhi,Urban,13480,496,216,11,176,214,43,205,276,4209,0.61,0.89,48.22,3.94,3.55
82,Hospital_82,Tamil Nadu,Urban,15506,350,350,82,32,213,79,401,173,19654,0.53,0.7,2,4.48,2.92
83,Hospital_83,Delhi,Urban,3031,459,289,54,180,203,182,93,152,17914,0.83,0.9,4.16,1.63,1.74
84,Hospital_84,Delhi,Urban,13667,244,160,69,192,266,137,641,103,15343,0.86,0.44,6.5,4.94,1.38
85,Hospital_85,Tamil Nadu,Rural,14138,77,77,71,11,892,13,1385,259,4709,0.79,0.31,54.28,4.63,4.99
86,Hospital_86,Tamil Nadu,Rural,12417,112,112,48,175,891,102,187,249,15346,0.32,0.86,34.27,4.85,3.86
87,Hospital_87,Tamil Nadu,Urban,3071,211,191,35,166,343,35,485,68,18503,0.71,0.51,89.42,4.41,4.13
88,Hospital_88,Tamil Nadu,Rural,2117,122,114,47,119,179,33,803,24,10588,0.54,0.72,56.36,4.51,0.23
89,Hospital_89,Maharashtra,Rural,2515,415,415,81,133,725,87,192,294,19400,0.44,0.79,76.23,3.4,0.39
90,Hospital_90,Karnataka,Urban,19580,26,26,52,76,641,145,1073,212,12880,0.79,0.46,69.03,4.38,3.59
91,Hospital_91,Karnataka,Rural,1709,147,147,86,80,944,15,1372,246,10207,0.49,0.6,52.51,3.14,1.04
92,Hospital_92,Tamil Nadu,Urban,817,74,74,85,173,85,164,311,296,18009,0.94,0.92,74.73,3.15,2.19
93,Hospital_93,Karnataka,Rural,12762,250,245,85,38,949,40,561,82,7406,0.51,0.9,54.93,3.25,1
94,Hospital_94,Karnataka,Urban,6882,381,182,65,128,273,24,722,223,16395,0.69,0.8,39.16,4.99,0.97
95,Hospital_95,Tamil Nadu,Rural,1148,81,81,79,174,302,125,111,20,19920,0.88,0.81,44.14,1.42,0.63
96,Hospital_96,Karnataka,Rural,11718,259,181,88,122,79,7,1496,234,19410,0.58,0.92,84.01,4.22,3.01
97,Hospital_97,Delhi,Urban,8407,109,109,14,54,137,111,1469,212,15712,0.88,0.79,56.76,2.09,3.72
98,Hospital_98,Kerala,Urban,8005,251,251,33,25,442,93,80,240,14823,0.81,0.47,38.35,2.44,0.38
99,Hospital_99,Kerala,Urban,10093,476,412,52,40,575,83,1403,60,666,0.94,0.3,18.79,1.32,1.45
100,Hospital_100,Tamil Nadu,Urban,10438,252,166,85,171,741,145,998,66,7848,0.53,0.54,50.04,2.41,3.33
101,Hospital_101,Maharashtra,Rural,5678,373,267,66,59,55,67,851,141,1075,0.37,0.27,25.99,4.96,2.02
102,Hospital_102,Tamil Nadu,Rural,13934,352,173,17,131,550,175,1242,289,7671,0.6,0.29,95.6,2.59,3.55
103,Hospital_103,Maharashtra,Urban,18104,458,156,48,199,110,197,315,234,16248,0.85,0.96,49.61,3.68,3.82
104,Hospital_104,Kerala,Rural,6648,394,394,51,180,320,66,357,183,3843,0.62,0.74,1.89,1.48,0.26
105,Hospital_105,Tamil Nadu,Urban,7481,311,163,68,193,743,145,508,275,18702,0.48,0.88,10.19,4.69,1.97
106,Hospital_106,Delhi,Urban,3041,364,364,95,24,936,110,1258,256,9847,0.32,0.71,29.15,4.31,3.67
107,Hospital_107,Karnataka,Rural,5795,171,171,57,185,938,17,383,87,10227,0.52,0.53,10.12,2.55,1.95
108,Hospital_108,Maharashtra,Rural,6501,447,47,94,58,753,55,564,144,11425,0.8,0.22,89.5,2.39,0.13
109,Hospital_109,Karnataka,Urban,15279,164,140,96,181,236,150,490,149,8479,0.4,0.96,85.58,2.73,1.75
110,Hospital_110,Karnataka,Urban,14556,149,149,81,19,754,34,722,262,9654,0.54,0.26,97.12,2.61,4.38
111,Hospital_111,Tamil Nadu,Urban,13197,160,160,80,29,942,133,440,185,5909,0.31,0.69,70.94,2.03,4.76
112,Hospital_112,Karnataka,Rural,6297,434,217,48,79,117,117,984,69,5041,0.81,0.28,64.9,4.96,2.85
113,Hospital_113,Delhi,Rural,5550,112,112,32,17,475,25,609,263,18398,0.92,0.43,92.43,4.24,1.6
114,Hospital_114,Karnataka,Rural,18037,133,104,6,182,550,60,303,17,1567,0.7,0.35,94.69,2.07,2.38
115,Hospital_115,Tamil Nadu,Rural,17496,303,303,61,43,828,87,1408,116,17765,0.32,0.64,87.87,4.93,1.26
116,Hospital_116,Delhi,Urban,8478,463,336,61,188,557,14,1473,180,7409,0.45,0.91,86.29,1.06,0.92
117,Hospital_117,Kerala,Urban,1981,430,430,38,13,47,90,1239,67,14736,0.61,0.71,67.5,2.75,2.52
118,Hospital_118,Karnataka,Urban,6899,162,162,91,117,595,31,1333,299,11429,0.71,0.73,1.16,3.28,3.71
119,Hospital_119,Tamil Nadu,Urban,14697,242,242,62,176,343,139,1077,93,8792,0.65,0.93,43.52,1.15,1.19
120,Hospital_120,Kerala,Urban,13775,251,199,56,33,242,132,168,126,15819,0.94,0.8,63.93,1.64,4.56
121,Hospital_121,Kerala,Urban,4686,482,208,33,64,99,63,1045,209,3316,0.96,0.89,55.17,2.03,0.92
122,Hospital_122,Maharashtra,Rural,8530,52,52,39,35,582,198,519,31,6911,0.38,0.53,82.29,3.88,2.84
123,Hospital_123,Delhi,Rural,2445,295,230,79,34,477,85,834,228,16221,0.4,0.89,82.07,4.76,3.9
124,Hospital_124,Karnataka,Urban,16559,189,33,52,45,633,154,1143,235,17291,0.55,0.72,60.27,3.5,1.15
125,Hospital_125,Tamil Nadu,Urban,9648,159,159,37,80,195,44,743,280,7704,0.59,0.31,3.18,3.25,1.55
126,Hospital_126,Maharashtra,Rural,5977,376,376,79,195,541,34,914,111,19399,0.71,0.23,37.56,3.15,0.35
127,Hospital_127,Delhi,Rural,6885,220,220,77,21,768,25,825,154,2239,0.84,0.4,23.65,2.4,4.73
128,Hospital_128,Maharashtra,Rural,15933,42,42,82,138,476,22,1443,156,4552,0.4,0.5,34.54,4.31,2.49
129,Hospital_129,Delhi,Rural,5022,475,102,13,125,442,140,230,270,17142,0.86,0.87,62.11,3.16,0.42
130,Hospital_130,Delhi,Urban,18814,243,243,52,187,119,130,1078,288,6286,0.73,0.79,7.58,1.92,4.17
131,Hospital_131,Karnataka,Urban,4786,387,142,71,162,909,28,1270,23,12513,0.99,0.96,3.2,1.55,2.89
132,Hospital_132,Delhi,Urban,14507,289,64,97,142,759,193,96,275,13096,0.76,0.65,44.25,4.94,0.37
133,Hospital_133,Maharashtra,Urban,18386,366,366,87,92,422,63,683,296,5220,0.8,0.8,79.56,1.07,2.31
134,Hospital_134,Delhi,Urban,12305,172,167,40,15,595,155,1213,150,14945,0.44,0.42,4.04,4.73,2.23
135,Hospital_135,Karnataka,Rural,13279,352,38,75,35,399,163,638,40,4226,0.84,0.74,85.06,1.87,0.82
136,Hospital_136,Karnataka,Urban,18543,104,104,96,122,550,112,359,180,1178,0.36,0.76,39,3.63,2.16
137,Hospital_137,Maharashtra,Rural,16624,128,128,48,112,351,133,323,214,13529,0.76,0.88,12.71,2.21,1.49
138,Hospital_138,Kerala,Urban,18273,50,50,86,129,337,138,889,120,9598,0.34,0.63,57.18,4.44,3.53
139,Hospital_139,Kerala,Urban,116,248,248,64,192,672,165,1463,77,8959,0.38,0.72,95.28,3.17,0.13
140,Hospital_140,Delhi,Urban,13474,259,259,67,176,556,117,508,192,6626,0.38,0.36,54.71,1.56,0.62
141,Hospital_141,Tamil Nadu,Urban,16948,397,231,9,18,759,161,782,205,13727,0.34,0.79,68.98,2.08,4.6
142,Hospital_142,Delhi,Urban,18311,382,124,91,54,108,66,410,135,5406,0.52,0.87,81.83,2.28,2.22
143,Hospital_143,Maharashtra,Rural,6056,329,329,90,23,623,107,1067,184,8398,1,0.67,80.13,4.54,0.96
144,Hospital_144,Maharashtra,Rural,16573,408,167,94,121,530,173,1142,271,18084,0.54,0.29,8.24,4.07,3.99
145,Hospital_145,Maharashtra,Rural,4915,160,160,80,64,61,85,711,295,14939,0.83,0.45,74.36,4.32,4.27
146,Hospital_146,Maharashtra,Urban,19335,175,175,44,146,904,28,748,164,1616,0.39,0.58,95,1.21,1.13
147,Hospital_147,Maharashtra,Urban,2943,318,131,23,24,826,59,934,78,6844,0.62,0.74,70.36,3.32,3.6
148,Hospital_148,Karnataka,Rural,16072,364,308,51,46,945,53,807,117,9590,0.43,0.46,83.81,5,3.11
149,Hospital_149,Kerala,Urban,17453,390,272,69,187,408,92,1105,44,13712,0.43,0.87,49.07,4.14,3.75
150,Hospital_150,Maharashtra,Urban,1194,118,118,71,136,100,68,670,53,14578,0.37,0.5,32.59,1.48,3.96
151,Hospital_151,Tamil Nadu,Rural,6224,66,58,95,126,421,116,231,152,11336,0.6,0.23,67.95,3.72,3.34
152,Hospital_152,Tamil Nadu,Urban,19679,346,346,22,93,126,8,735,220,17942,0.35,0.84,49.73,3.98,4.79
153,Hospital_153,Tamil Nadu,Rural,1504,441,338,54,81,130,125,730,294,17571,0.94,0.72,89.63,3.06,4.33
154,Hospital_154,Tamil Nadu,Urban,4082,499,306,34,105,296,76,297,15,8652,0.61,0.84,97.46,1.32,1.22
155,Hospital_155,Karnataka,Rural,12615,86,86,70,120,233,9,669,227,9479,0.89,0.48,82.16,1.14,4.58
156,Hospital_156,Tamil Nadu,Urban,15890,81,81,9,158,762,101,1370,36,13186,0.99,0.21,99.28,4.75,1.86
157,Hospital_157,Maharashtra,Urban,12305,128,128,97,194,837,195,79,236,11336,0.77,0.26,35.49,2.03,3.66
158,Hospital_158,Delhi,Rural,12848,186,186,46,114,525,57,1375,293,10856,0.93,0.29,89.68,2.52,4.26
159,Hospital_159,Tamil Nadu,Urban,3192,56,56,88,156,140,112,922,65,8895,0.39,0.84,33.66,4.18,2.24
160,Hospital_160,Karnataka,Urban,14071,138,138,98,67,153,179,997,114,2991,0.88,0.44,12.69,3.76,0.35
161,Hospital_161,Karnataka,Rural,14716,105,105,9,104,837,161,1425,27,14428,0.49,1,62.52,4.87,4.75
162,Hospital_162,Tamil Nadu,Urban,5033,401,401,54,127,739,105,1034,214,7504,0.63,0.81,46.04,1.37,0.46
163,Hospital_163,Delhi,Rural,5026,411,100,89,15,981,34,366,52,12060,0.75,0.68,92.25,3.83,1.81
164,Hospital_164,Tamil Nadu,Urban,4069,484,420,62,13,390,102,786,98,7511,0.93,0.99,49.73,1.33,3.02
165,Hospital_165,Karnataka,Urban,3065,71,17,83,52,276,102,1470,83,12250,0.94,0.45,92.84,1,0.68
166,Hospital_166,Kerala,Urban,4419,110,41,88,102,716,160,1162,166,5362,0.36,0.33,8.78,1.48,4.21
167,Hospital_167,Maharashtra,Urban,9075,308,308,12,51,817,199,1307,275,5850,0.56,0.79,83.22,3.47,1.1
168,Hospital_168,Karnataka,Rural,7208,356,329,35,12,973,159,217,143,13182,0.86,0.42,76.15,3.7,4.93
169,Hospital_169,Tamil Nadu,Urban,9241,317,317,16,138,894,182,792,98,13035,0.79,0.97,72.28,2.75,4.59
170,Hospital_170,Maharashtra,Rural,16528,223,223,25,192,199,96,175,245,12203,0.32,0.99,36.16,1.18,3.06
171,Hospital_171,Tamil Nadu,Urban,1910,387,200,98,24,952,135,622,141,10111,0.61,0.94,78.59,3.54,3.33
172,Hospital_172,Tamil Nadu,Urban,10373,257,257,66,56,67,173,169,238,15596,0.88,0.96,48.85,1.34,2.71
173,Hospital_173,Kerala,Urban,9121,401,172,95,94,618,141,1058,43,14606,0.82,0.69,71.81,1.57,2.02
174,Hospital_174,Maharashtra,Urban,18393,174,70,94,183,916,135,1263,92,855,0.59,0.75,55.67,3.05,1.82
175,Hospital_175,Maharashtra,Rural,6464,259,259,37,67,38,105,609,141,8932,0.81,0.28,16.59,2.36,4.47
176,Hospital_176,Kerala,Rural,2681,155,155,30,48,65,70,1275,213,16200,0.69,0.81,7.39,2.86,2.93
177,Hospital_177,Karnataka,Rural,791,426,294,94,140,470,76,1132,296,14350,0.94,0.36,37.25,3.54,4.13
178,Hospital_178,Tamil Nadu,Rural,1031,381,104,44,167,917,53,746,267,17738,0.71,0.87,93.35,1.64,2.62
179,Hospital_179,Delhi,Urban,13228,400,50,69,44,75,20,272,134,12435,0.58,0.97,53.44,4.57,1.6
180,Hospital_180,Tamil Nadu,Rural,14326,388,388,63,194,760,110,1084,160,7204,0.9,0.37,80.42,3.24,0.55
181,Hospital_181,Tamil Nadu,Rural,13961,83,83,19,166,676,74,842,256,15879,0.33,0.26,58.02,1.09,1.69
182,Hospital_182,Karnataka,Urban,15575,142,142,5,187,111,13,863,184,9752,0.93,0.59,95.83,3.51,4.41
183,Hospital_183,Tamil Nadu,Urban,3506,273,213,15,199,101,1,359,89,9073,0.79,0.83,37.58,2.85,3.59
184,Hospital_184,Kerala,Urban,8439,496,276,59,61,756,188,1061,116,1632,0.96,0.82,6.65,3.81,3.95
185,Hospital_185,Kerala,Urban,17516,133,11,6,127,98,107,798,67,19360,0.48,0.76,78.29,4.14,3.89
186,Hospital_186,Maharashtra,Rural,17795,39,39,69,23,681,144,1107,100,16034,0.79,0.86,70.84,4.76,0.69
187,Hospital_187,Delhi,Rural,8679,35,35,99,172,892,77,1068,144,11530,0.87,0.34,53.23,4.99,0.88
188,Hospital_188,Tamil Nadu,Urban,3221,164,164,48,165,302,47,1413,178,2579,0.79,0.72,33.31,3.2,1.65
189,Hospital_189,Tamil Nadu,Urban,18357,227,227,20,195,330,90,530,131,1444,0.45,0.68,19.64,3.25,1.58
190,Hospital_190,Karnataka,Urban,16046,38,38,26,39,179,135,623,245,6340,0.49,0.32,48.75,1.09,0.42
191,Hospital_191,Kerala,Rural,3848,395,345,22,99,335,183,874,85,7174,0.7,0.53,66.95,4.46,0.85
192,Hospital_192,Delhi,Rural,377,411,411,51,144,896,16,1166,32,11221,0.61,0.88,58.31,1.11,4.3
193,Hospital_193,Maharashtra,Urban,18343,185,185,85,176,998,196,677,82,12993,0.81,0.98,44.31,3.53,2.99
194,Hospital_194,Kerala,Urban,11663,57,57,34,104,687,11,1206,97,12010,0.57,0.73,54.43,1.39,1.78
195,Hospital_195,Maharashtra,Rural,6892,200,200,14,78,175,165,893,112,1334,0.9,0.94,11.69,2.14,2.68
196,Hospital_196,Karnataka,Urban,14018,368,221,62,172,907,145,1038,103,4684,0.6,0.31,69.89,1.56,1.38
197,Hospital_197,Karnataka,Urban,10474,124,124,66,136,733,25,468,275,7678,0.33,0.98,73.69,1.55,2.96
198,Hospital_198,Tamil Nadu,Rural,4775,119,119,89,61,487,36,79,262,5668,0.31,0.23,2.13,1.3,0.47
199,Hospital_199,Delhi,Urban,1270,109,109,84,151,940,69,347,67,5491,0.75,0.62,27.78,2.27,4.52
200,Hospital_200,Maharashtra,Rural,8781,434,371,10,72,872,168,1134,18,8646,0.68,0.43,10.12,2.69,1.28
201,Hospital_201,Kerala,Urban,10817,319,148,71,45,481,78,507,22,14384,0.68,0.85,99.82,2.86,4.11
202,Hospital_202,Karnataka,Urban,12550,463,230,45,100,873,169,353,140,5790,0.85,0.37,59.74,2.76,3.33
203,Hospital_203,Tamil Nadu,Rural,10780,351,282,47,161,136,89,1007,231,15344,0.56,0.21,47.11,3.09,2.66
204,Hospital_204,Tamil Nadu,Rural,10168,420,163,89,177,685,40,389,162,18936,1,0.53,46.84,4.44,4.66
205,Hospital_205,Maharashtra,Urban,2562,98,98,81,166,383,174,497,80,8651,0.96,0.25,96.51,3.53,0.87
206,Hospital_206,Karnataka,Rural,13750,92,92,22,62,862,141,1375,29,528,0.31,0.43,66.33,1.07,0.68
207,Hospital_207,Delhi,Urban,387,442,442,62,118,650,128,930,90,18744,0.93,0.71,17.7,1.69,1.68
208,Hospital_208,Karnataka,Urban,18391,445,445,64,159,730,16,589,237,8434,0.78,0.44,45.37,2.4,4.17
209,Hospital_209,Maharashtra,Rural,1261,195,195,92,81,932,182,534,28,3072,0.65,0.4,77.65,4.8,0.27
210,Hospital_210,Maharashtra,Urban,16613,415,285,31,24,485,52,126,174,15781,0.71,0.32,42.91,1.31,1.27
211,Hospital_211,Karnataka,Urban,2463,115,11,72,122,794,117,564,116,8551,0.89,0.31,31.64,3.84,2.18
212,Hospital_212,Maharashtra,Rural,6083,364,97,26,78,203,108,993,223,2627,0.97,0.62,99.13,1.13,3.59
213,Hospital_213,Karnataka,Rural,16627,122,122,28,125,979,158,708,248,10583,0.69,0.75,93.63,2.45,1.57
214,Hospital_214,Kerala,Urban,8307,421,420,44,13,679,189,141,156,19591,0.43,0.56,94.21,4.08,2.3
215,Hospital_215,Karnataka,Rural,14858,482,139,78,84,185,135,515,190,10433,0.75,0.3,14.04,2.38,1.75
216,Hospital_216,Karnataka,Rural,344,243,87,70,155,94,157,515,207,16377,0.35,0.72,24.19,2.72,0.55
217,Hospital_217,Maharashtra,Rural,17410,25,25,44,51,767,76,1113,296,2313,0.74,0.65,44.76,4.62,3.72
218,Hospital_218,Maharashtra,Rural,3278,141,141,10,39,845,79,739,62,13019,0.87,0.51,83.38,1.26,2.36
219,Hospital_219,Tamil Nadu,Urban,2276,255,150,22,152,291,193,1402,249,8316,0.55,0.46,73.95,3.11,4.08
220,Hospital_220,Tamil Nadu,Urban,5102,446,237,85,79,710,44,1358,299,8851,0.35,0.35,85.12,2.46,3.5
221,Hospital_221,Kerala,Urban,986,135,135,91,192,522,17,996,296,16148,0.78,0.32,92.16,4.86,0.38
